number,word
1,Abandon
2,Absorb
3,Accomplish
4,Accurate
5,Achievement
6,Adapt
7,Admiration
8,Adventure
9,Affectionate
10,Aggressive
11,Alert
12,Ambitious
13,Ample
14,Analyze
15,Ancient
16,Announce
17,Anxious
18,Apprehensive
19,Artificial
20,Ascend
21,Astonishing
22,Attention
23,Authority
24,Available
25,Aware
26,Awkward
27,Balance
28,Barrier
29,Benevolent
30,Blame
31,Boisterous
32,Brilliant
33,Calculate
34,Camouflage
35,Capable
36,Capture
37,Carefree
38,Cautious
39,Celebrate
40,Challenge
41,Contribution
42,Convenient
43,Cooperate
44,Courage
45,Criticize
46,Crucial
47,Curiosity
48,Cycle
49,Daring
50,Debate
51,Decade
52,Decisive
53,Decline
54,Dedicate
55,Defend
56,Deficient
57,Delicate
58,Delight
59,Demonstrate
60,Dense
61,Characteristic
62,Circumstance
63,Clarity
64,Coherent
65,Collapse
66,Colleague
67,Commence
68,Compassionate
69,Comprehend
70,Concentrate
71,Concept
72,Conclude
73,Confident
74,Conflict
75,Conquer
76,Consequence
77,Considerate
78,Constant
79,Contaminate
80,Contradict
81,Dependable
82,Depict
83,Depressed
84,Desolate
85,Despair
86,Desperate
87,Destination
88,Determined
89,Devastate
90,Diligent
91,Disastrous
92,Disguise
93,Distinctive
94,Distract
95,Diverse
96,Dominant
97,Dramatic
98,Durable
99,Dynamic
100,Eager
101,Efficient
102,Elaborate
103,Elevate
104,Eliminate
105,Eloquent
106,Emphasize
107,Encourage
108,Endanger
109,Endurance
110,Enhance
111,Enthusiastic
112,Environment
113,Envious
114,Essential
115,Establish
116,Estimate
117,Evaluate
118,Evidence
119,Evolution
120,Exaggerate
121,Exceed
122,Exclaim
123,Exclude
124,Exhaust
125,Expand
126,Expectation
127,Expertise
128,Exploit
129,Extravagant
130,Extraordinary
131,Familiar
132,Fascinate
133,Ferocious
134,Flawless
135,Flexible
136,Flourish
137,Focus
138,Formal
139,Fortunate
140,Fragile
141,Frantic
142,Frugal
143,Fundamental
144,Furious
145,Generous
146,Genuine
147,Gesture
148,Glimpse
149,Gracious
150,Gratitude
151,Guarantee
152,Harsh
153,Hazard
154,Hesitate
155,Hilarious
156,Hollow
157,Honest
158,Hostile
159,Humble
160,Hypothesis
161,Identity
162,Ignorance
163,Illusion
164,Immense
165,Immigrant
166,Impatient
167,Implore
168,Important
169,Impressive
170,Improvisation
171,Inability
172,Inaccessible
173,Incident
174,Incline
175,Inclusive
176,Incredible
177,Influence
178,Informative
179,Ingenious
180,Inhabit
181,Initiative
182,Insistent
183,Inspect
184,Inspire
185,Interpret
186,Intricate
187,Investigate
188,Invincible
189,Involve
190,Irritate
191,Isolate
192,Jealous
193,Jubilant
194,Justice
195,Keen
196,Knowledgeable
197,Laboratory
198,Lament
199,Latitude
200,Leisure
201,Lenient
202,Lethargic
203,Liberate
204,Limb
205,Linger
206,Logical
207,Magnify
208,Majestic
209,Manipulate
210,Marvel
211,Massive
212,Mature
213,Meditate
214,Melancholy
215,Menace
216,Meticulous
217,Mimic
218,Mingle
