number,word
1,abandon
2,absorb
3,accomplish
4,accurate
5,achievement
6,adapt
7,admiration
8,adventure
9,affectionate
10,aggressive
11,alert
12,ambitious
13,ample
14,analyze
15,ancient
16,announce
17,anxious
18,apprehensive
19,artificial
20,ascend
21,astonishing
22,attention
23,authority
24,available
25,aware
26,awkward
27,balance
28,barrier
29,benevolent
30,blame
31,boisterous
32,brilliant
33,calculate
34,camouflage
35,capable
36,capture
37,carefree
38,cautious
39,celebrate
40,challenge
41,contribution
42,convenient
43,cooperate
44,courage
45,criticize
46,crucial
47,curiosity
48,cycle
49,daring
50,debate
51,decade
52,decisive
53,decline
54,dedicate
55,defend
56,deficient
57,delicate
58,delight
59,demonstrate
60,dense
61,characteristic
62,circumstance
63,clarity
64,coherent
65,collapse
66,colleague
67,commence
68,compassionate
69,comprehend
70,concentrate
71,concept
72,conclude
73,confident
74,conflict
75,conquer
76,consequence
77,considerate
78,constant
79,contaminate
80,contradict
81,dependable
82,depict
83,depressed
84,desolate
85,despair
86,desperate
87,destination
88,determined
89,devastate
90,diligent
91,disastrous
92,disguise
93,distinctive
94,distract
95,diverse
96,dominant
97,dramatic
98,durable
99,dynamic
100,eager
101,efficient
102,elaborate
103,elevate
104,eliminate
105,eloquent
106,emphasize
107,encourage
108,endanger
109,endurance
110,enhance
111,enthusiastic
112,environment
113,envious
114,essential
115,establish
116,estimate
117,evaluate
118,evidence
119,evolution
120,exaggerate
121,exceed
122,exclaim
123,exclude
124,exhaust
125,expand
126,expectation
127,expertise
128,exploit
129,extravagant
130,extraordinary
131,familiar
132,fascinate
133,ferocious
134,flawless
135,flexible
136,flourish
137,focus
138,formal
139,fortunate
140,fragile
141,frantic
142,frugal
143,fundamental
144,furious
145,generous
146,genuine
147,gesture
148,glimpse
149,gracious
150,gratitude
151,guarantee
152,harsh
153,hazard
154,hesitate
155,hilarious
156,hollow
157,honest
158,hostile
159,humble
160,hypothesis
161,identity
162,ignorance
163,illusion
164,immense
165,immigrant
166,impatient
167,implore
168,important
169,impressive
170,improvisation
171,inability
172,inaccessible
173,incident
174,incline
175,inclusive
176,incredible
177,influence
178,informative
179,ingenious
180,inhabit
181,initiative
182,insistent
183,inspect
184,inspire
185,interpret
186,intricate
187,investigate
188,invincible
189,involve
190,irritate
191,isolate
192,jealous
193,jubilant
194,justice
195,keen
196,knowledgeable
197,laboratory
198,lament
199,latitude
200,leisure
201,lenient
202,lethargic
203,liberate
204,limb
205,linger
206,logical
207,magnify
208,majestic
209,manipulate
210,marvel
211,massive
212,mature
213,meditate
214,melancholy
215,menace
216,meticulous
217,mimic
218,mingle
219,misfortune
220,modify
221,momentous
222,motion
223,mourn
224,mysterious
225,myth
226,navigate
227,neglect
228,nostalgia
229,notorious
230,nourish
231,obedient
232,obligation
233,obstacle
234,obtain
235,occupy
236,opponent
237,optimistic
238,oppress
239,origin
240,outcome
241,overcome
242,overwhelming
243,paralyze
244,parallel
245,participate
246,passionate
247,patience
248,peculiar
249,perception
250,persistent
251,persuasive
252,pessimistic
253,petrify
254,placid
